State,County,Population,Temperature,Precipitation,Land_Prices
Michigan ,Alcona County,"10,417",46.0,30.45,3499.0
Michigan ,Alger County,"8,807",42.3,38.57,
Michigan ,Allegan County,"121,210",49.9,36.58,6240.0
Michigan ,Alpena County,"28,847",46.2,31.9,3353.0
Michigan ,Antrim County,"24,249",46.7,33.93,4544.0
Michigan ,Arenac County,"15,089",48.1,31.54,3913.0
Michigan ,Baraga County,"8,277",40.9,39.27,3023.0
Michigan ,Barry County,"63,554",49.6,35.15,5581.0
Michigan ,Bay County,"102,821",49.1,33.72,5202.0
Michigan ,Benzie County,"18,297",46.8,31.97,3445.0
Michigan ,Berrien County,"152,900",50.9,39.84,6475.0
Michigan ,Branch County,"44,531",50.2,32.57,5329.0
Michigan ,Calhoun County,"133,289",50.0,33.84,5582.0
Michigan ,Cass County,"51,403",50.6,38.87,6270.0
Michigan ,Charlevoix County,"26,293",46.5,33.49,5079.0
Michigan ,Cheboygan County,"25,940",45.5,30.76,3405.0
Michigan ,Chippewa County,"36,293",42.8,35.7,
Michigan ,Clare County,"31,352",46.8,33.08,4137.0
Michigan ,Clinton County,"79,748",49.5,34.38,5911.0
Michigan ,Crawford County,"13,491",45.6,30.97,
Michigan ,Delta County,"36,741",43.3,32.23,3700.0
Michigan ,Dickinson County,"25,874",42.5,29.0,3805.0
Michigan ,Eaton County,"108,992",49.6,34.6,5461.0
Michigan ,Emmet County,"34,163",45.7,31.17,4756.0
Michigan ,Genesee County,"401,983",49.6,34.73,5850.0
Michigan ,Gladwin County,"25,728",47.9,32.83,4344.0
Michigan ,Gogebic County,"14,319",40.5,36.19,
Michigan ,Grand Traverse County,"96,464",47.1,31.88,
Michigan ,Gratiot County,"41,100",48.9,34.99,5031.0
Michigan ,Hillsdale County,"45,762",49.9,31.76,5138.0
Michigan ,Houghton County,"37,035",42.2,34.65,3274.0
Michigan ,Huron County,"31,248",48.7,34.04,
Michigan ,Ingham County,"284,108",49.4,32.55,5727.0
Michigan ,Ionia County,"66,809",49.1,36.29,5256.0
Michigan ,Iosco County,"25,521",47.1,31.05,3972.0
Michigan ,Iron County,"11,622",40.7,31.68,3433.0
Michigan ,Isabella County,"64,447",48.0,35.4,4757.0
Michigan ,Jackson County,"160,066",49.4,31.23,5661.0
Michigan ,Kalamazoo County,"261,173",50.5,35.22,6881.0
Michigan ,Kalkaska County,"18,182",46.2,32.89,4181.0
Michigan ,Kent County,"659,083",48.9,36.0,6875.0
Michigan ,Keweenaw County,"2,180",41.8,36.36,
Michigan ,Lake County,"12,594",46.7,32.06,3782.0
Michigan ,Lapeer County,"88,780",49.5,37.91,5001.0
Michigan ,Leelanau County,"22,870",47.0,32.22,4927.0
Michigan ,Lenawee County,"98,567",50.7,33.25,6193.0
Michigan ,Livingston County,"196,161",49.2,32.36,6285.0
Michigan ,Luce County,"5,330",42.0,35.24,
Michigan ,Mackinac County,"10,941",43.3,32.92,
Michigan ,Macomb County,"874,195",51.1,36.22,6737.0
Michigan ,Manistee County,"25,287",46.5,32.35,3357.0
Michigan ,Marquette County,"66,661",41.6,38.86,3235.0
Michigan ,Mason County,"29,409",46.8,32.04,4266.0
Michigan ,Mecosta County,"40,720",47.1,31.81,4227.0
Michigan ,Menominee County,"23,266",44.1,28.72,3315.0
Michigan ,Midland County,"83,674",48.9,34.73,5885.0
Michigan ,Missaukee County,"15,213",45.9,31.28,4004.0
Michigan ,Monroe County,"155,609",51.9,33.0,7309.0
Michigan ,Montcalm County,"67,433",48.0,36.76,4451.0
Michigan ,Montmorency County,"9,569",45.8,29.99,3212.0
Michigan ,Muskegon County,"176,565",48.8,35.19,5134.0
Michigan ,Newaygo County,"50,886",47.6,32.81,4953.0
Michigan ,Oakland County,"1,269,431",49.9,34.79,7811.0
Michigan ,Oceana County,"26,973",47.6,35.17,4334.0
Michigan ,Ogemaw County,"20,970",46.5,31.2,3677.0
Michigan ,Ontonagon County,"5,863",41.6,34.88,
Michigan ,Osceola County,"23,274",46.1,31.07,3905.0
Michigan ,Oscoda County,"8,404",45.8,29.66,3253.0
Michigan ,Otsego County,"25,644",45.4,31.52,4155.0
Michigan ,Ottawa County,"300,873",49.4,34.53,7243.0
Michigan ,Presque Isle County,"13,361",45.7,32.04,
Michigan ,Roscommon County,"23,708",46.1,31.23,
Michigan ,Saginaw County,"188,330",49.4,35.23,5183.0
Michigan ,St. Clair County,"160,151",50.6,36.35,
Michigan ,St. Joseph County,"60,874",50.8,32.98,
Michigan ,Sanilac County,"40,657",49.1,35.35,4539.0
Michigan ,Schoolcraft County,"8,188",42.8,35.63,
Michigan ,Shiawassee County,"68,022",49.3,35.11,5123.0
Michigan ,Tuscola County,"52,945",49.1,36.59,4835.0
Michigan ,Van Buren County,"75,692",50.4,38.31,5456.0
Michigan ,Washtenaw County,"366,376",49.6,32.28,8219.0
Michigan ,Wayne County,"1,757,043",51.5,35.23,7556.0
Michigan ,Wexford County,"34,196",46.1,32.93,3845.0
